file_name,email,content_type,owner_voice,verification
c6ae920fcedb4f7aabeefc7d25375c65,rvirgilli@gmail.com,speech,True,0.0
bf5d641a860f46d08c1368aad5aeeb28,rvirgilli@gmail.com,speech,True,0.0
587c27316ee144de9e0ef50725f69fa2,rvirgilli@gmail.com,speech,True,0.0
b2796418f6c94b50806359ff8a7ee9f3,rvirgilli@gmail.com,keyword,True,0.0
79e5c800df174bdcad699599c78f1285,rvirgilli@gmail.com,noise,True,0.0
02991eba3fec4b2f91730242740fe7b0,bla@bla.com,speech,True,0.0
d4f80a83353c4ea7936b0acdabe9b16f,bla@bla.com,speech,True,0.0
2397afb22a2842f6ae8117313ccd9fa9,bla@bla.com,speech,True,0.0
ee3b43c912cd41638788c85482083065,bla@bla.com,keyword,True,0.0
92143de15fd5488e876754ac825b4e88,bla@bla.com,noise,True,0.0
d3b7630b2c6b499ca34f2e287127c945,ui@ui.com,speech,True,0.0
6b9bf3c8a768477384df3ec0815c2b62,ai@ai.com,speech,True,0.0
837079f65a42470faea86da7af06c58b,undefined,verification,True,1.0
afe854dd52c34d53811abf2f42bdaa02,undefined,verification,True,1.0
32a01d416d6144a783abdaa4da3984ce,undefined,verification,True,1.0
cc7dbb7821284d54bbb41117d04e1296,undefined,verification,True,1.0
80bfc64934f94c66b885a6975a22fd4d,undefined,verification,True,1.0
ffebf81716704d9d9be0d0f96589adc9,undefined,verification,True,1.0
23d1adde5e9b4c928e2f5b63ea39fbeb,rvirgilli@gmail.com,verification,True,1.0
c6549d13fc0541bea16c00d12be63bbe,rvirgilli@gmail.com,verification,True,1.0
